Timestamp,Product,Price,Order_Type,Amount,Currency_1,Corresponding_Amount,Currency_2,Max_Bid_Price,Min_Ask_Price,Average_Price
2020/03/17 17:01:30.099017,DOGE/BTC,3.1e-07,bidsale,500000.000000,DOGE,-0.155000,BTC,3e-07,3.1e-07,3.05e-07
2020/03/17 17:01:30.099017,DOGE/USDT,0.00165452,bidsale,386819.137870,DOGE,-640.000000,USDT,0.00163399,0.00165452,0.00164426
2020/03/17 17:01:35.103526,DOGE/BTC,3.1e-07,bidsale,500000.000000,DOGE,-0.155000,BTC,3e-07,3.1e-07,3.05e-07
2020/03/17 17:01:35.103526,DOGE/USDT,0.00165353,bidsale,387050.733880,DOGE,-640.000000,USDT,0.00165452,0.00165353,0.00165353
2020/03/17 17:01:40.107326,DOGE/BTC,3.1e-07,bidsale,500000.000000,DOGE,-0.155000,BTC,3e-07,3.1e-07,3.05e-07
2020/03/17 17:01:40.107326,DOGE/USDT,0.00165352,bidsale,11542.683228,DOGE,-19.086058,USDT,0.00165353,0.00165352,0.00165352
2020/03/17 17:01:40.107326,ETH/USDT,117.44,bidsale,25.000000,ETH,-2936.000000,USDT,117.329,117.44,117.385
2020/03/17 17:01:45.111661,BTC/USDT,5366.74,bidsale,0.053618,BTC,-287.755940,USDT,5363.51,5366.74,5365.12
2020/03/17 17:01:45.111661,DOGE/BTC,3.1e-07,bidsale,500000.000000,DOGE,-0.155000,BTC,3e-07,3.1e-07,3.05e-07
2020/03/17 17:01:45.111661,DOGE/USDT,0.00165341,bidsale,387078.824970,DOGE,-640.000000,USDT,0.00165352,0.00165341,0.00165341
2020/03/17 17:01:45.111661,ETH/BTC,0.0219,bidsale,9.804922,ETH,-0.214728,BTC,0.0218909,0.0219,0.0218954
2020/03/17 17:01:45.111661,ETH/BTC,0.0219,bidsale,0.040000,ETH,-0.000876,BTC,0.0218909,0.0219,0.0218954
2020/03/17 17:01:45.111661,ETH/USDT,117.489,bidsale,25.000000,ETH,-2937.214179,USDT,117.265,117.489,117.377
2020/03/17 17:01:50.116610,DOGE/BTC,3.1e-07,bidsale,500000.000000,DOGE,-0.155000,BTC,3e-07,3.1e-07,3.05e-07
2020/03/17 17:01:50.116610,DOGE/USDT,0.00165327,bidsale,387111.603060,DOGE,-640.000000,USDT,0.00165341,0.00165327,0.00165327
2020/03/17 17:01:50.116610,ETH/BTC,0.0219,bidsale,9.804922,ETH,-0.214727,BTC,0.0219,0.0219,0.0219
2020/03/17 17:01:50.116610,ETH/BTC,0.0219,bidsale,10.948543,ETH,-0.239773,BTC,0.0219,0.0219,0.0219
2020/03/17 17:01:50.116610,ETH/BTC,0.0219,bidsale,3.435880,ETH,-0.075246,BTC,0.0219,0.0219,0.0219
2020/03/17 17:01:50.116610,ETH/BTC,0.0219,bidsale,0.040000,ETH,-0.000876,BTC,0.0219,0.0219,0.0219
2020/03/17 17:01:50.116610,ETH/USDT,117.489,bidsale,3.467434,ETH,-407.383852,USDT,117.294,117.489,117.391
2020/03/17 17:01:50.116610,ETH/USDT,117.489,bidsale,21.532566,ETH,-2529.830327,USDT,117.294,117.489,117.391
2020/03/17 17:01:55.120438,BTC/USDT,5363.7,bidsale,0.057882,BTC,-310.460973,USDT,5368.13,5363.7,5363.7
2020/03/17 17:01:55.120438,BTC/USDT,5363.7,bidsale,0.224178,BTC,-1202.423661,USDT,5368.13,5363.7,5363.7
2020/03/17 17:01:55.120438,BTC/USDT,5363.7,bidsale,0.005000,BTC,-26.818490,USDT,5368.13,5363.7,5363.7
2020/03/17 17:01:55.120438,DOGE/BTC,3.1e-07,bidsale,500000.000000,DOGE,-0.155000,BTC,3e-07,3.1e-07,3.05e-07
2020/03/17 17:01:55.120438,DOGE/USDT,0.00165326,bidsale,10959.739989,DOGE,-18.119300,USDT,0.00165327,0.00165326,0.00165326
2020/03/17 17:01:55.120438,ETH/BTC,0.0219,bidsale,9.804922,ETH,-0.214727,BTC,0.0219,0.0219,0.0219
2020/03/17 17:01:55.120438,ETH/BTC,0.0219,bidsale,3.481458,ETH,-0.076244,BTC,0.0219,0.0219,0.0219
2020/03/17 17:01:55.120438,ETH/BTC,0.0219,bidsale,0.040000,ETH,-0.000876,BTC,0.0219,0.0219,0.0219
